LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Country full name
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1998,7.6923075,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2000,8.5185184,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2002,10.344828,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2004,6.6666665,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2006,7.6923075,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2008,11.764706,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2010,9.9403353,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2012,11.111111,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2014,5.5555553,Ireland
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1975,42.389759,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1976,39.741749,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1977,40.326797,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1978,40.565456,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1979,41.31319,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1980,41.680305,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1981,41.956966,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1982,42.159256,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1983,41.903408,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1984,41.934006,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1985,41.659271,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1986,41.605526,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1987,41.226215,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1988,41.018211,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1989,40.963375,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1990,40.598938,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1991,39.898991,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1992,38.884995,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1993,38.450947,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1994,37.815975,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1995,37.090302,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1996,36.847324,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1997,36.521454,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1998,35.307667,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1999,34.550838,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2000,33.859303,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2001,33.86467,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2002,32.529724,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2003,31.997351,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2004,31.087391,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2005,32.825439,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2006,32.980831,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2007,31.742323,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2008,30.694397,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2009,28.284924,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2010,28.684301,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2011,27.395365,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2012,26.523546,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2013,26.587578,Japan
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2014,25.870991,Japan
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1985,52.776234,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1992,46.965488,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1993,47.260319,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1994,45.506378,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1995,44.182205,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1996,43.28278,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1997,42.215485,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1998,42.021843,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1999,41.803398,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2000,41.654354,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2001,40.416142,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2002,41.028511,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2003,40.083153,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2004,39.623547,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2005,39.616631,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2006,39.774143,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2007,38.162064,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2008,39.037441,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2009,38.614681,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2010,39.605858,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2011,36.564228,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2012,36.298531,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2013,36.599636,Korea
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2014,36.653175,Korea
LUX,WAGEGAP,TOT,PC_MENWAGE,A,2002,15.50058,Mexico
LUX,WAGEGAP,TOT,PC_MENWAGE,A,2006,8.1961594,Mexico
LUX,WAGEGAP,TOT,PC_MENWAGE,A,2010,4.9682708,Mexico
NLD,WAGEGAP,TOT,PC_MENWAGE,A,2002,15.145228,
NLD,WAGEGAP,TOT,PC_MENWAGE,A,2006,15.888616,
NLD,WAGEGAP,TOT,PC_MENWAGE,A,2010,18.597561,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1984,21.474653,New Zealand
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1986,23.014999,New Zealand
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1988,20.289234,New Zealand
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1990,17.111124,New Zealand
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1992,15.571565,New Zealand
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1994,13.302432,New Zealand
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1995,13.68283,New Zealand
